 0.550  0.400  0.070	 0.549  0.400  0.070	 0.000  1.571  0.000	 0.045  0.042 -0.145	0.01761
 0.550  0.350  0.070	 0.550  0.350  0.070	-0.002  1.570  0.002	 0.049  0.021 -0.148	0.01386
 0.550  0.300  0.070	 0.549  0.300  0.069	-0.003  1.569  0.002	 0.046  0.021 -0.146	0.01711
 0.550  0.250  0.070	 0.550  0.250  0.071	 0.000  1.570 -0.000	 0.052  0.014 -0.149	0.01118
 0.550  0.200  0.070	 0.551  0.200  0.070	-0.009  1.592  0.003	 0.036  0.026 -0.143	0.02706
 0.550  0.150  0.070	 0.551  0.150  0.070	 0.004  1.572 -0.000	 0.047  0.012 -0.145	0.01555
 0.550  0.100  0.070	 0.551  0.101  0.070	 0.000  1.571 -0.000	 0.045 -0.001 -0.146	0.01791
 0.550  0.050  0.070	 0.550  0.050  0.070	 0.005  1.571 -0.005	 0.035  0.010 -0.143	0.02764
 0.550  0.000  0.070	 0.550  0.000  0.070	 0.000  1.571 -0.001	 0.038 -0.016 -0.147	0.02520
 0.550 -0.050  0.070	 0.549 -0.051  0.070	 0.006  1.573  0.003	 0.028 -0.027 -0.147	0.03488
 0.550 -0.100  0.070	 0.549 -0.101  0.069	 0.004  1.570  0.001	 0.030 -0.023 -0.145	0.03283
 0.550 -0.150  0.070	 0.549 -0.151  0.070	-0.007  1.573  0.005	 0.036 -0.033 -0.146	0.02669
 0.550 -0.200  0.070	 0.549 -0.200  0.070	-0.001  1.570  0.001	 0.022 -0.048 -0.149	0.04116
 0.550 -0.250  0.070	 0.549 -0.250  0.070	 0.001  1.568 -0.005	 0.026 -0.050 -0.148	0.03647
 0.550 -0.300  0.070	 0.550 -0.300  0.069	-0.012  1.552 -0.021	 0.021 -0.060 -0.150	0.03403
 0.550 -0.350  0.070	 0.550 -0.349  0.069	-0.032  1.521 -0.062	 0.025 -0.065 -0.150	0.02823
 0.550 -0.400  0.070	 0.550 -0.400  0.070	-0.090  1.507 -0.121	 0.035 -0.067 -0.150	0.02089
 0.550 -0.450  0.070	 0.550 -0.450  0.070	-0.119  1.446 -0.222	 0.042 -0.069 -0.152	0.01564
 0.550 -0.500  0.070	 0.546 -0.475  0.087	-0.103  1.405 -0.332	 0.043 -0.070 -0.151	0.01369
 0.600  0.500  0.070	 0.600  0.500  0.069	 0.020  1.530  0.033	 0.057  0.069 -0.151	0.00602
 0.600  0.450  0.070	 0.601  0.451  0.070	-0.000  1.571  0.001	 0.062  0.054 -0.149	0.00132
 0.600  0.400  0.070	 0.599  0.400  0.070	 0.001  1.563  0.012	 0.060  0.046 -0.148	0.00289
 0.600  0.350  0.070	 0.600  0.350  0.070	-0.002  1.566 -0.013	 0.056  0.034 -0.147	0.00671
 0.600  0.300  0.070	 0.600  0.300  0.071	-0.007  1.571 -0.002	 0.053  0.041 -0.146	0.00985
 0.600  0.250  0.070	 0.599  0.249  0.071	 0.000  1.571  0.000	 0.050  0.020 -0.145	0.01245
 0.600  0.200  0.070	 0.600  0.200  0.070	 0.011  1.554 -0.005	 0.049  0.002 -0.148	0.01385
 0.600  0.150  0.070	 0.599  0.149  0.070	 0.004  1.566 -0.001	 0.047  0.003 -0.146	0.01599
